"","Latitude","Longitude","Date","MODIS_Tile","MOD13A1_006_Line_Y_500m","MOD13A1_006_Sample_X_500m","MOD13A1_006__500m_16_days_NDVI","MOD13A1_006__500m_16_days_VI_Quality","MOD13A1_006__500m_16_days_VI_Quality_bitmask","MOD13A1_006__500m_16_days_VI_Quality_MODLAND","MOD13A1_006__500m_16_days_VI_Quality_MODLAND_Description","MOD13A1_006__500m_16_days_VI_Quality_VI_Usefulness","MOD13A1_006__500m_16_days_VI_Quality_VI_Usefulness_Description","MOD13A1_006__500m_16_days_VI_Quality_Aerosol_Quantity","MOD13A1_006__500m_16_days_VI_Quality_Aerosol_Quantity_Description","MOD13A1_006__500m_16_days_VI_Quality_Adjacent_cloud_detected","MOD13A1_006__500m_16_days_VI_Quality_Adjacent_cloud_detected_Description","MOD13A1_006__500m_16_days_VI_Quality_Atmosphere_BRDF_Correction","MOD13A1_006__500m_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description","MOD13A1_006__500m_16_days_VI_Quality_Mixed_Clouds","MOD13A1_006__500m_16_days_VI_Quality_Mixed_Clouds_Description","MOD13A1_006__500m_16_days_VI_Quality_Land.Water_Mask","MOD13A1_006__500m_16_days_VI_Quality_Land.Water_Mask_Description","MOD13A1_006__500m_16_days_VI_Quality_Possible_snow.ice","MOD13A1_006__500m_16_days_VI_Quality_Possible_snow.ice_Description","MOD13A1_006__500m_16_days_VI_Quality_Possible_shadow","MOD13A1_006__500m_16_days_VI_Quality_Possible_shadow_Description","lon","lat","flag_br","flag_norte","flag_nordeste","flag_sul","flag_sudeste","flag_centroeste"
"4739",-20.24708176,-50.48970795,"2020-05-24","h13v11",59,631,0.5384,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4740",-20.24708176,-50.48970795,"2020-06-09","h13v11",59,631,0.5381,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4741",-20.24708176,-50.48970795,"2020-06-25","h13v11",59,631,0.454,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4742",-20.24708176,-50.48970795,"2020-07-11","h13v11",59,631,0.4335,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4743",-20.24708176,-50.48970795,"2020-07-27","h13v11",59,631,0.3801,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4744",-20.24708176,-50.48970795,"2020-08-12","h13v11",59,631,0.3698,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4745",-20.24708176,-50.48970795,"2020-08-28","h13v11",59,631,0.3394,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4746",-20.24708176,-50.48970795,"2020-09-13","h13v11",59,631,0.3416,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4747",-20.24708176,-50.48970795,"2020-09-29","h13v11",59,631,0.3801,2185,"0b0000100010001001","0b01","VI produced, but check other QA","0b0010","Decreasing quality (0010)","0b10","Average","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4748",-20.24708176,-50.48970795,"2020-10-15","h13v11",59,631,0.3831,2185,"0b0000100010001001","0b01","VI produced, but check other QA","0b0010","Decreasing quality (0010)","0b10","Average","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
